TransactionID,CustomerID,Date,Product,Quantity,Price,Category
T00001,C1041,2025-12-07,Dal,2,90,Grocery
T00001,C1041,2025-12-07,Rice,1,70,Grocery
T00001,C1041,2025-12-07,Cooking Oil,1,140,Grocery
T00001,C1041,2025-12-07,Curd,1,30,Dairy
T00001,C1041,2025-12-07,Shampoo,1,130,Personal Care
T00002,C1041,2025-10-08,Juice,2,40,Beverages
T00002,C1041,2025-10-08,Bread,2,30,Bakery
T00002,C1041,2025-10-08,Biscuits,1,25,Snacks
T00002,C1041,2025-10-08,Cookies,1,45,Bakery
T00003,C1011,2025-08-27,Dal,2,90,Grocery
T00003,C1011,2025-08-27,Salt,1,20,Grocery
T00003,C1011,2025-08-27,Rice,1,70,Grocery
T00004,C1011,2025-08-28,Bread,2,30,Bakery
T00004,C1011,2025-08-28,Butter,1,55,Dairy
T00004,C1011,2025-08-28,Juice,3,40,Beverages
T00004,C1011,2025-08-28,Curd,2,30,Dairy
T00005,C1011,2025-10-26,Tea,1,120,Beverages
T00005,C1011,2025-10-26,Biscuits,1,25,Snacks
T00005,C1011,2025-10-26,Curd,2,30,Dairy
T00006,C1011,2025-08-11,Chips,3,20,Snacks
T00006,C1011,2025-08-11,Chocolate,1,50,Snacks
T00006,C1011,2025-08-11,Juice,3,40,Beverages
T00007,C1011,2025-11-13,Butter,1,55,Dairy
T00007,C1011,2025-11-13,Milk,3,25,Dairy
T00007,C1011,2025-11-13,Bread,3,30,Bakery
T00007,C1011,2025-11-13,Juice,2,40,Beverages
T00008,C1011,2025-07-27,Bread,1,30,Bakery
T00008,C1011,2025-07-27,Butter,1,55,Dairy
T00008,C1011,2025-07-27,Juice,1,40,Beverages
T00009,C1011,2025-10-24,Butter,1,55,Dairy
T00009,C1011,2025-10-24,Eggs,1,60,Poultry & Protein
T00009,C1011,2025-10-24,Bread,1,30,Bakery
T00010,C1011,2025-10-22,Sugar,1,45,Grocery
T00010,C1011,2025-10-22,Coffee,2,180,Beverages
T00010,C1011,2025-10-22,Milk,2,25,Dairy
T00010,C1011,2025-10-22,Cookies,1,45,Bakery
T00011,C1011,2025-12-11,Bread,3,30,Bakery
T00011,C1011,2025-12-11,Butter,2,55,Dairy
T00012,C1011,2025-10-31,Bread,3,30,Bakery
T00012,C1011,2025-10-31,Butter,2,55,Dairy
T00012,C1011,2025-10-31,Milk,1,25,Dairy
T00012,C1011,2025-10-31,Cheese,3,90,Dairy
T00013,C1022,2025-09-20,Coffee,1,180,Beverages
T00013,C1022,2025-09-20,Biscuits,3,25,Snacks
T00013,C1022,2025-09-20,Sugar,2,45,Grocery
T00013,C1022,2025-09-20,Cheese,2,90,Dairy
T00013,C1022,2025-09-20,Toothpaste,1,60,Personal Care
T00014,C1022,2025-07-10,Butter,1,55,Dairy
T00014,C1022,2025-07-10,Bread,1,30,Bakery
T00014,C1022,2025-07-10,Eggs,1,60,Poultry & Protein
T00014,C1022,2025-07-10,Milk,1,25,Dairy
T00015,C1022,2025-08-01,Bread,2,30,Bakery
T00015,C1022,2025-08-01,Butter,1,55,Dairy
T00016,C1009,2025-10-19,Sugar,2,45,Grocery
T00016,C1009,2025-10-19,Biscuits,3,25,Snacks
T00016,C1009,2025-10-19,Coffee,3,180,Beverages
T00016,C1009,2025-10-19,Paneer,1,110,Poultry & Protein
T00016,C1009,2025-10-19,Cake,2,120,Bakery
T00017,C1009,2025-10-11,Chips,1,20,Snacks
T00017,C1009,2025-10-11,Juice,1,40,Beverages
T00018,C1009,2025-10-20,Tea,1,120,Beverages
T00018,C1009,2025-10-20,Biscuits,1,25,Snacks
T00018,C1009,2025-10-20,Sugar,1,45,Grocery
T00019,C1009,2025-06-19,Coffee,2,180,Beverages
T00019,C1009,2025-06-19,Sugar,2,45,Grocery
T00019,C1009,2025-06-19,Milk,1,25,Dairy
T00019,C1009,2025-06-19,Bread,2,30,Bakery
T00019,C1009,2025-06-19,Shampoo,2,130,Personal Care
T00020,C1009,2025-07-19,Butter,2,55,Dairy
T00020,C1009,2025-07-19,Bread,2,30,Bakery
T00020,C1009,2025-07-19,Biscuits,3,25,Snacks
T00021,C1009,2025-11-20,Bread,1,30,Bakery
T00021,C1009,2025-11-20,Butter,1,55,Dairy
T00022,C1009,2025-10-16,Chocolate,1,50,Snacks
T00022,C1009,2025-10-16,Chips,2,20,Snacks
T00022,C1009,2025-10-16,Juice,2,40,Beverages
T00022,C1009,2025-10-16,Cookies,1,45,Bakery
T00023,C1004,2025-06-04,Milk,2,25,Dairy
T00023,C1004,2025-06-04,Bread,1,30,Bakery
T00023,C1004,2025-06-04,Butter,1,55,Dairy
T00023,C1004,2025-06-04,Cake,2,120,Bakery
T00024,C1004,2025-06-01,Soap,1,35,Personal Care
T00024,C1004,2025-06-01,Toothpaste,1,60,Personal Care
T00024,C1004,2025-06-01,Shampoo,1,130,Personal Care
T00024,C1004,2025-06-01,Chocolate,1,50,Snacks
T00024,C1004,2025-06-01,Bread,2,30,Bakery
T00025,C1004,2025-12-06,Sugar,1,45,Grocery
T00025,C1004,2025-12-06,Coffee,2,180,Beverages
T00026,C1004,2025-10-07,Milk,2,25,Dairy
T00026,C1004,2025-10-07,Sugar,1,45,Grocery
T00026,C1004,2025-10-07,Coffee,3,180,Beverages
T00027,C1004,2025-07-31,Toothpaste,2,60,Personal Care
T00027,C1004,2025-07-31,Shampoo,1,130,Personal Care
T00027,C1004,2025-07-31,Soap,2,35,Personal Care
T00027,C1004,2025-07-31,Butter,3,55,Dairy
T00028,C1004,2025-10-23,Coffee,1,180,Beverages
T00028,C1004,2025-10-23,Milk,2,25,Dairy
T00028,C1004,2025-10-23,Sugar,1,45,Grocery
T00029,C1004,2025-11-19,Cooking Oil,1,140,Grocery
T00029,C1004,2025-11-19,Rice,2,70,Grocery
T00029,C1004,2025-11-19,Salt,1,20,Grocery
T00029,C1004,2025-11-19,Dal,2,90,Grocery
T00029,C1004,2025-11-19,Cheese,1,90,Dairy
T00029,C1004,2025-11-19,Shampoo,1,130,Personal Care
T00030,C1004,2025-08-29,Bread,3,30,Bakery
T00030,C1004,2025-08-29,Butter,1,55,Dairy
T00030,C1004,2025-08-29,Milk,2,25,Dairy
T00030,C1004,2025-08-29,Sugar,3,45,Grocery
